LU,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,NUM_FLOORS
R3,N,740892,1782,120,3
R3,N,597700,2067,119,3
R3,Y,628600,5000,119,2.5
R3,N,725300,3100,119,2
R3,N,725300,3100,119,2
R3,N,533600,1250,89,3
R3,Y,527300,1250,129,3
R3,N,523400,1250,129,3
R3,Y,486400,1250,129,3
R4,N,487500,1250,120,3
R3,N,599900,1250,120,3
R3,Y,322000,1250,119,3
RC,N,677500,1235,79,3
C,N,272000,2800,99,1
R3,Y,589200,2200,119,3
R1,Y,323000,2500,94,1.5
R2,N,492400,1879,94,2
R1,Y,275264,1819,94,1.5
R2,Y,469500,1500,94,2
C,N,439500,1500,37,2
C,N,439500,1375,37,2
C,N,425000,5180,89,2.5
RC,N,270000,1599,89,3
R3,Y,279664,1781,104,2
R3,Y,279664,1781,104,2
R3,N,644400,1985,119,3
R3,N,827500,2241,112,3
R3,N,547800,2117,119,3
RC,N,297000,2372,99,2.5
R3,Y,570100,2007,119,3
R3,Y,603800,2262,104,3
R3,N,712300,2476,119,3
R3,N,647900,2500,119,3
RC,N,757500,1307,109,4
RC,N,867500,1100,109,4
C,N,489000,5070,109,1
R3,N,375000,1250,119,3
C,N,374500,2500,120,1
C,N,183000,1250,109,1
RC,N,474000,1875,79,3
RC,N,422500,1827,120,3
R3,N,514900,1875,119,3
R3,N,474700,1875,119,3
R4,N,1083000,1871,59,4
R2,Y,368000,1845,109,2
C,N,197500,1746,59,1
RC,N,468500,1651,79,3
RC,N,544500,1152,100,3
RC,N,733500,1508,109,3
R3,N,436400,1634,114,3
RC,N,226500,1736,99,2
RC,N,202074,1457,59,2
RC,N,272000,1281,79,2.5
R2,Y,451300,1000,120,2
C,N,535700,8146,69,1
R1,Y,254800,1295,109,1.5
R1,Y,259800,1250,104,1.5
C,N,91000,1950,120,1
R3,N,601430,1650,119,3
R1,N,294900,2100,94,1.5
R2,Y,379300,2250,94,2
RC,N,319000,4125,94,2
R2,N,461900,1625,12,3
R3,Y,596700,3750,109,3
R1,Y,353600,3750,114,1.5
C,N,431500,3750,109,1
R2,Y,506600,1875,139,2
R1,N,263800,1875,104,1.5
R1,Y,345100,1875,119,2
R1,Y,303000,1500,119,2
R2,N,495600,1500,119,2
CD,Y,489000,1540,2,1
CD,Y,472900,1367,2,1
R1,Y,318000,1875,119,1.5
R3,Y,551500,2925,119,3
R3,N,647700,2659,119,3
R1,Y,377900,4436,119,1.5
R1,Y,355800,3675,119,1.5
R1,Y,339700,2250,119,2
R3,N,424905,2250,2,3
R1,N,297600,5250,143,2
R1,N,251400,1875,119,1.5
E,N,381700,2857,104,3
E,N,2114603,9131,23,2
E,N,5040530,21764,120,2
R2,Y,413600,1613,114,2
R2,Y,443200,2324,114,2
R2,Y,430700,1654,114,2
R2,N,415300,1792,114,2
R2,Y,524040,1544,114,2
C,N,12385000,84168,59,3
C,N,2725000,124126,40,1
I,N,447300,61926,54,1
R1,N,272100,1800,129,2
R3,N,539300,1812,119,3
R3,Y,499600,1675,114,3
R3,N,482900,1512,119,3
R2,N,474900,1392,16,2.5
R3,Y,496500,1597,119,2
R3,N,784821,1990,119,3
R3,Y,645800,2549,119,3
R3,N,623400,2186,120,2.5
R3,N,575600,1164,119,3
R3,N,579300,1082,114,3
R3,Y,525700,961,119,3
R3,N,442700,795,109,3
RC,N,552500,851,109,3
R3,N,585000,1518,129,3
R1,Y,254900,1195,119,1.5
R2,Y,365700,1625,103,2
R1,Y,286600,1619,119,2
R2,N,387300,2049,119,2
C,N,1041500,43999,59,1
C,N,671300,16000,55,1
C,N,343700,5840,69,1
RC,Y,376500,4033,119,2
C,N,434500,1628,69,1
C,N,72000,366,99,1
C,N,906500,2167,116,3
RC,N,637000,1389,99,3
RC,N,544000,1817,99,3
RC,N,455500,1886,109,3
R3,N,532000,1674,119,3
RC,N,321500,2302,120,2.5
RC,N,664749,1838,109,3
RC,N,664749,1838,109,3
RC,N,373500,1880,119,2
C,N,2002500,14479,49,1
C,N,874500,5112,114,2
C,N,874500,5112,114,3
C,N,555000,4126,89,1
R2,N,446900,1300,139,2
C,N,56000,1049,84,1
R2,N,341700,789,119,2.5
C,N,161500,4030,59,1
R2,N,568500,2313,5,3
R2,Y,432600,2494,109,2
R2,N,508400,2500,109,2
R1,N,270600,2500,109,2
R1,Y,289900,2500,120,2
R1,N,213700,1675,109,1.5
R2,Y,419500,2500,109,2
R1,N,273900,2025,119,2
C,N,162000,1725,109,1
C,N,1436000,4500,89,1
C,N,26974000,264645,5,5
A,N,1689220,7328,2,4
RC,N,1042500,3964,69,2
R3,Y,653100,4000,104,3
R4,Y,980000,7048,119,3
RC,N,282000,5796,120,1
I,N,594500,17344,54,1
A,N,39537500,873348,52,2
CD,N,364700,952,59,2
CD,Y,450000,1454,59,3
CD,Y,325900,1233,59,3
CD,N,458700,1228,59,3
CD,Y,372500,928,59,2
CD,Y,353600,916,59,2
CD,Y,475100,1386,59,3
CD,Y,479100,1378,59,3
CD,Y,462200,1623,59,2
CD,Y,436500,1373,59,2
CD,Y,372700,892,59,2
CD,Y,297102,880,59,2
CD,Y,555800,1984,59,3
CD,N,391600,1072,59,2
CD,Y,389800,1000,59,2
CD,Y,433100,1191,59,3
CD,Y,265200,902,59,2
CD,Y,473400,1364,59,3
CD,Y,377900,886,59,2
CD,N,462900,1500,59,3
CD,Y,422300,1272,59,3
R2,Y,440100,2500,109,2
R2,Y,465900,2500,109,2
R2,Y,427200,2500,109,2
R2,Y,444000,2500,109,2
R2,N,505100,2500,109,2
R2,N,411900,2500,109,2
R2,N,360500,2500,98,2
R2,Y,391300,2500,109,2
R3,N,542100,3205,79,2
R3,N,524600,3353,79,2
R3,Y,479300,4180,79,2
C,N,517500,5158,59,2
C,N,23183000,594629,69,2
C,N,53360500,300614,47,12
C,N,9702500,261790,33,2
R3,Y,538300,2000,99,3
R4,N,718500,2000,109,3
R2,N,393600,2000,109,2
R2,N,542300,2000,119,2
R2,N,359200,2000,109,2
R1,Y,221600,2500,103,1.5
C,N,210000,2891,89,1
R1,N,362600,2500,109,2
R2,Y,591400,2500,109,2.5
R1,Y,288000,2500,99,1.5
R1,Y,246000,2500,109,1.5
R1,Y,269000,2500,109,1.5
CD,Y,499600,1563,3,3
CD,Y,499600,1563,3,3
R1,Y,300600,2500,109,2
R1,Y,278900,2500,109,2
R2,Y,421500,2500,109,2
R3,Y,542500,2500,92,3
R3,N,601953,2500,109,3
R1,Y,325700,3000,89,2
R2,N,550500,4000,109,2
R2,Y,545400,3000,109,2
R2,Y,543900,3000,109,2
R2,N,519700,3000,109,2
R1,Y,424900,4400,119,2
R2,N,370600,3000,109,2
R2,N,546100,3000,109,2
R2,Y,529700,3600,109,2
R2,Y,504800,5000,119,2
R2,N,607700,5000,109,2
R3,N,537000,3300,101,3
R3,Y,542100,3400,101,3
R3,Y,529600,3300,101,3
R2,Y,345500,2500,119,2
R2,Y,367400,2500,109,2
R1,Y,265400,2500,109,2
R2,N,487300,5000,109,2
R2,Y,403900,2500,109,2
R2,Y,426600,2500,120,2
C,N,645500,8817,79,1
C,N,229400,7800,59,1
R1,N,270500,2200,119,2
C,N,211800,7000,59,1
CD,Y,346900,1168,34,2
CD,Y,340800,1168,34,2
R1,Y,384500,6000,21,1
R4,N,707500,10000,119,2
CD,Y,414600,1729,16,2
